vendor,invoice_number,invoice_date,due_date,net_amount,vat_amount,gross_amount,currency,po_number,iban,payment_terms,synthetic_is_anomaly,synthetic_anomaly_types
Green Supplies BV,GRE-1005,2026-03-26,2026-04-25,2987.69,627.41,3615.1,EUR,PO-5170,NL91ABNA0417164300,30 days,False,normal
Logistik Süd GmbH,LOG-1007,2026-03-27,2026-04-26,4455.5,846.54,5302.04,EUR,PO-5741,DE44500105175407324931,30 days,False,normal
DataNova Inc,DAT-1004,2026-04-02,2026-05-02,6316.87,0.0,6316.87,USD,PO-9149,US-DEMO-889922,30 days,False,normal
Nordic Office Oy,NOR-1006,2026-04-05,2026-05-05,1902.13,456.51,2358.64,EUR,PO-8158,FI2112345600000785,30 days,False,normal
TechParts AG,TEC-1008,2026-04-06,2026-05-06,8963.65,1703.09,10666.75,EUR,PO-8990,DE12500105170648489890,30 days,False,normal
CloudWorks Ltd,CLO-1004,2026-04-10,2026-05-10,3222.86,644.57,3867.43,GBP,PO-9771,GB29NWBK60161331926819,30 days,False,normal
Logistik Süd GmbH,LOG-1008,2026-04-11,2026-05-11,4061.86,771.75,4833.61,EUR,PO-4913,DE44500105175407324931,30 days,False,normal
Green Supplies BV,GRE-1006,2026-04-16,2026-05-16,2820.0,592.2,3412.2,EUR,PO-4744,NL91ABNA0417164300,30 days,False,normal
MediaHaus GmbH,MED-1004,2026-04-16,2026-05-16,1742.24,331.03,2073.27,EUR,PO-4792,DE75512108001245126199,30 days,False,normal
ABC GmbH,ABC-1004,2026-04-18,2026-05-18,845.8,160.7,1006.5,EUR,PO-9572,DE89370400440532013000,30 days,False,normal
TechParts AG,TEC-1009,2026-04-21,2026-05-21,8058.73,1531.16,9589.89,EUR,PO-7152,DE12500105170648489890,30 days,False,normal
Logistik Süd GmbH,LOG-1009,2026-04-25,2026-05-25,3675.42,698.33,4373.75,EUR,PO-5323,DE44500105175407324931,30 days,False,normal
Nordic Office Oy,NOR-1007,2026-04-28,2026-05-28,2299.89,551.97,2851.87,EUR,PO-5051,FI2112345600000785,30 days,False,normal
CloudWorks Ltd,CLO-1005,2026-05-03,2026-06-02,2821.23,564.25,3385.48,GBP,PO-6370,GB29NWBK60161331926819,30 days,False,normal
TechParts AG,TEC-1010,2026-05-04,2026-06-03,9679.41,1839.09,11518.5,EUR,PO-9584,DE12500105170648489890,30 days,False,normal
DataNova Inc,DAT-1005,2026-05-05,2026-06-04,6835.13,0.0,6835.13,USD,PO-7714,US-DEMO-889922,30 days,False,normal
Green Supplies BV,GRE-1007,2026-05-06,2026-06-05,2923.32,613.9,3537.22,EUR,PO-8334,NL91ABNA0417164300,30 days,False,normal
Logistik Süd GmbH,LOG-1010,2026-05-06,2026-06-05,4463.87,848.14,5312.01,EUR,PO-8002,DE44500105175407324931,30 days,False,normal
MediaHaus GmbH,MED-1005,2026-05-13,2026-06-12,1753.55,333.17,2086.73,EUR,PO-8780,DE75512108001245126199,30 days,False,normal
TechParts AG,TEC-1011,2026-05-19,2026-06-18,8921.53,1695.09,10616.62,EUR,PO-9122,DE12500105170648489890,30 days,False,normal
Logistik Süd GmbH,LOG-1011,2026-05-20,2026-06-19,3962.11,752.8,4714.91,EUR,PO-6519,DE44500105175407324931,30 days,False,normal
Nordic Office Oy,NOR-1008,2026-05-22,2026-06-21,2017.6,484.22,2501.82,EUR,PO-6171,FI2112345600000785,30 days,False,normal
ABC GmbH,ABC-1005,2026-05-24,2026-06-23,1170.49,222.39,1392.89,EUR,PO-9915,DE89370400440532013000,30 days,False,normal
Green Supplies BV,GRE-1008,2026-05-30,2026-06-29,2456.26,515.81,2972.07,EUR,PO-4566,NL91ABNA0417164300,30 days,False,normal
TechParts AG,TEC-1012,2026-06-02,2026-07-02,8475.32,1610.31,10085.63,EUR,PO-4701,DE12500105170648489890,30 days,False,normal
CloudWorks Ltd,CLO-1006,2026-06-03,2026-07-03,3428.52,685.7,4114.23,GBP,PO-9490,GB29NWBK60161331926819,30 days,False,normal
Logistik Süd GmbH,LOG-1012,2026-06-03,2026-07-03,4987.52,947.63,5935.15,EUR,PO-7588,DE44500105175407324931,30 days,False,normal
DataNova Inc,DAT-1006,2026-06-08,2026-07-08,5384.19,0.0,5384.19,USD,PO-9749,US-DEMO-889922,30 days,False,normal
Nordic Office Oy,NOR-1009,2026-06-11,2026-07-11,2455.02,589.2,3044.22,EUR,PO-9925,FI2112345600000785,30 days,False,normal
MediaHaus GmbH,MED-1006,2026-06-12,2026-07-12,1716.71,326.18,2042.89,EUR,PO-6965,DE75512108001245126199,30 days,False,normal
TechParts AG,TEC-1013,2026-06-13,2026-07-13,8213.96,1560.65,9774.61,EUR,PO-6769,DE12500105170648489890,30 days,False,normal
Logistik Süd GmbH,LOG-1013,2026-06-17,2026-07-17,4372.71,830.82,5203.53,EUR,PO-4580,DE44500105175407324931,30 days,False,normal
ABC GmbH,ABC-1006,2026-06-18,2026-07-18,1032.67,196.21,1228.88,EUR,PO-8906,DE89370400440532013000,30 days,False,normal
Green Supplies BV,GRE-1009,2026-06-23,2026-07-23,3263.35,685.3,3948.65,EUR,PO-8503,NL91ABNA0417164300,30 days,False,normal
TechParts AG,TEC-1014,2026-06-24,2026-07-24,8534.79,1621.61,10156.4,EUR,PO-9798,DE12500105170648489890,30 days,False,normal
Logistik Süd GmbH,LOG-1014,2026-06-29,2026-07-29,4815.07,914.86,5729.94,EUR,PO-4895,DE44500105175407324931,30 days,False,normal
CloudWorks Ltd,CLO-1007,2026-06-30,2026-07-30,3251.63,650.33,3901.95,GBP,PO-5338,GB29NWBK60161331926819,30 days,False,normal
DataNova Inc,DAT-1007,2026-07-03,2026-08-02,7267.09,0.0,7267.09,USD,PO-9242,US-DEMO-889922,30 days,False,normal
Nordic Office Oy,NOR-1010,2026-07-05,2026-08-04,2449.86,587.97,3037.82,EUR,PO-7104,FI2112345600000785,30 days,False,normal
MediaHaus GmbH,MED-1007,2026-07-05,2026-08-04,2287.72,434.67,2722.39,EUR,PO-8885,DE75512108001245126199,30 days,False,normal
TechParts AG,TEC-1015,2026-07-07,2026-08-06,8130.6,1544.81,9675.42,EUR,PO-4257,DE12500105170648489890,30 days,False,normal
Logistik Süd GmbH,LOG-1015,2026-07-12,2026-08-11,4066.81,772.69,4839.5,EUR,PO-6136,DE44500105175407324931,30 days,False,normal
ABC GmbH,INV-10001,2026-07-15,2026-08-14,1000.0,190.0,1190.0,EUR,PO-5001,DE89370400440532013000,30 days,False,normal
Green Supplies BV,GRE-1010,2026-07-16,2026-08-15,3507.89,736.66,4244.55,EUR,PO-4991,NL91ABNA0417164300,30 days,False,normal
ABC GmbH,ABC-1007,2026-07-20,2026-08-19,1025.55,194.85,1220.4,EUR,PO-4916,DE89370400440532013000,30 days,False,normal
TechParts AG,TEC-1016,2026-07-21,2026-08-20,8774.32,1667.12,10441.44,EUR,PO-9398,DE12500105170648489890,30 days,False,normal
Logistik Süd GmbH,LOG-1016,2026-07-25,2026-08-24,3972.25,754.73,4726.98,EUR,PO-5955,DE44500105175407324931,30 days,False,normal
CloudWorks Ltd,CLO-1008,2026-07-31,2026-08-30,3816.43,763.29,4579.72,GBP,PO-9608,GB29NWBK60161331926819,30 days,False,normal
ABC GmbH,INV-10001,2026-08-01,2026-08-14,1000.0,190.0,1190.0,EUR,PO-5001,DE89370400440532013000,30 days,True,duplicate
DataNova Inc,DAT-1008,2026-08-01,2026-08-31,5846.54,0.0,5846.54,USD,PO-4542,US-DEMO-889922,30 days,False,normal
Nordic Office Oy,NOR-1011,2026-08-01,2026-08-31,2202.48,528.59,2731.07,EUR,PO-4465,FI2112345600000785,30 days,False,normal
MediaHaus GmbH,MED-1008,2026-08-04,2026-09-03,1568.6,298.03,1866.64,EUR,PO-8881,DE75512108001245126199,30 days,False,normal
Green Supplies BV,GRE-1011,2026-08-05,2026-09-04,2866.55,601.98,3468.53,EUR,PO-5755,NL91ABNA0417164300,30 days,False,normal
TechParts AG,TEC-1017,2026-08-05,2026-09-04,6197.89,1177.6,7375.48,EUR,PO-4496,DE12500105170648489890,30 days,False,normal
ABC GmbH,INV-EXTREME,2026-08-05,2026-08-14,21008.4,3991.6,25000.0,EUR,PO-5001,DE89370400440532013000,30 days,True,unusual_amount
ABC GmbH,INV-IBAN,2026-08-07,2026-08-14,1000.0,190.0,1190.0,EUR,PO-5001,DE12345678901234567890,30 days,True,changed_iban
Logistik Süd GmbH,LOG-1017,2026-08-08,2026-09-07,4588.71,871.85,5460.56,EUR,PO-4594,DE44500105175407324931,30 days,False,normal
ABC GmbH,INV-VAT,2026-08-09,2026-08-14,1000.0,500.0,1500.0,EUR,PO-5001,DE89370400440532013000,30 days,True,vat_anomaly
ABC GmbH,INV-NOPO,2026-08-11,2026-08-14,25000.0,4750.0,29750.0,EUR,,DE89370400440532013000,30 days,True,missing_po
ABC GmbH,ABC-1008,2026-08-15,2026-09-14,1078.54,204.92,1283.46,EUR,PO-8819,DE89370400440532013000,30 days,False,normal
CloudWorks Ltd,CLO-1009,2026-08-18,2026-09-17,2734.79,546.96,3281.74,GBP,PO-4262,GB29NWBK60161331926819,30 days,False,normal
ABC GmbH,INV-FREQ-1,2026-08-20,2026-08-14,1000.0,190.0,1190.0,EUR,PO-5001,DE89370400440532013000,30 days,True,unusual_frequency
ABC GmbH,INV-FREQ-2,2026-08-21,2026-08-14,1000.0,190.0,1190.0,EUR,PO-5001,DE89370400440532013000,30 days,True,unusual_frequency
ABC GmbH,INV-FREQ-3,2026-08-22,2026-08-14,1000.0,190.0,1190.0,EUR,PO-5001,DE89370400440532013000,30 days,True,unusual_frequency
TechParts AG,TEC-1018,2026-08-23,2026-09-22,7701.56,1463.3,9164.85,EUR,PO-4414,DE12500105170648489890,30 days,False,normal
Logistik Süd GmbH,LOG-1018,2026-08-23,2026-09-22,4684.79,890.11,5574.9,EUR,PO-4563,DE44500105175407324931,30 days,False,normal
Nordic Office Oy,NOR-1012,2026-08-25,2026-09-24,2352.37,564.57,2916.94,EUR,PO-9502,FI2112345600000785,30 days,False,normal
Green Supplies BV,GRE-1012,2026-08-27,2026-09-26,2421.47,508.51,2929.97,EUR,PO-5990,NL91ABNA0417164300,30 days,False,normal
MediaHaus GmbH,MED-1009,2026-09-02,2026-10-02,1638.47,311.31,1949.78,EUR,PO-5735,DE75512108001245126199,30 days,False,normal
TechParts AG,TEC-1019,2026-09-04,2026-10-04,8196.48,1557.33,9753.82,EUR,PO-5522,DE12500105170648489890,30 days,False,normal
DataNova Inc,DAT-1009,2026-09-06,2026-10-06,5976.53,0.0,5976.53,USD,PO-5143,US-DEMO-889922,30 days,False,normal
Logistik Süd GmbH,LOG-1019,2026-09-07,2026-10-07,4033.36,766.34,4799.7,EUR,PO-5667,DE44500105175407324931,30 days,False,normal
ABC GmbH,ABC-1009,2026-09-12,2026-10-12,862.97,163.96,1026.93,EUR,PO-5875,DE89370400440532013000,30 days,False,normal
Green Supplies BV,GRE-1013,2026-09-12,2026-10-12,2852.59,599.04,3451.64,EUR,PO-7334,NL91ABNA0417164300,30 days,False,normal
TechParts AG,TEC-1020,2026-09-15,2026-10-15,7285.01,1384.15,8669.17,EUR,PO-8874,DE12500105170648489890,30 days,False,normal
Nordic Office Oy,NOR-1013,2026-09-17,2026-10-17,2036.13,488.67,2524.8,EUR,PO-6231,FI2112345600000785,30 days,False,normal
CloudWorks Ltd,CLO-1010,2026-09-17,2026-10-17,3306.82,661.36,3968.19,GBP,PO-8646,GB29NWBK60161331926819,30 days,False,normal
Logistik Süd GmbH,LOG-1020,2026-09-21,2026-10-21,4997.84,949.59,5947.43,EUR,PO-5071,DE44500105175407324931,30 days,False,normal
MediaHaus GmbH,MED-1010,2026-09-27,2026-10-27,1928.98,366.51,2295.48,EUR,PO-6902,DE75512108001245126199,30 days,False,normal
TechParts AG,TEC-1021,2026-09-29,2026-10-29,7469.4,1419.19,8888.59,EUR,PO-9531,DE12500105170648489890,30 days,False,normal
DataNova Inc,DAT-1010,2026-10-02,2026-11-01,6378.04,0.0,6378.04,USD,PO-8788,US-DEMO-889922,30 days,False,normal
Green Supplies BV,GRE-1014,2026-10-04,2026-11-03,2629.66,552.23,3181.89,EUR,PO-9972,NL91ABNA0417164300,30 days,False,normal
ABC GmbH,ABC-1010,2026-10-12,2026-11-11,1009.01,191.71,1200.72,EUR,PO-9516,DE89370400440532013000,30 days,False,normal
CloudWorks Ltd,CLO-1011,2026-10-13,2026-11-12,2936.55,587.31,3523.86,GBP,PO-8598,GB29NWBK60161331926819,30 days,False,normal
TechParts AG,TEC-1022,2026-10-13,2026-11-12,6737.95,1280.21,8018.17,EUR,PO-8666,DE12500105170648489890,30 days,False,normal
Green Supplies BV,GRE-1015,2026-10-22,2026-11-21,2764.29,580.5,3344.79,EUR,PO-5148,NL91ABNA0417164300,30 days,False,normal
TechParts AG,TEC-1023,2026-10-30,2026-11-29,7265.72,1380.49,8646.21,EUR,PO-7434,DE12500105170648489890,30 days,False,normal
MediaHaus GmbH,MED-1011,2026-10-31,2026-11-30,1950.28,370.55,2320.83,EUR,PO-7367,DE75512108001245126199,30 days,False,normal
DataNova Inc,DAT-1011,2026-11-02,2026-12-02,5579.8,0.0,5579.8,USD,PO-8532,US-DEMO-889922,30 days,False,normal
ABC GmbH,ABC-1011,2026-11-08,2026-12-08,1095.23,208.09,1303.33,EUR,PO-4764,DE89370400440532013000,30 days,False,normal
Green Supplies BV,GRE-1016,2026-11-09,2026-12-09,2953.17,620.17,3573.34,EUR,PO-8508,NL91ABNA0417164300,30 days,False,normal
CloudWorks Ltd,CLO-1012,2026-11-10,2026-12-10,3191.12,638.22,3829.35,GBP,PO-5133,GB29NWBK60161331926819,30 days,False,normal
TechParts AG,TEC-1024,2026-11-13,2026-12-13,7292.43,1385.56,8677.99,EUR,PO-4600,DE12500105170648489890,30 days,False,normal
Green Supplies BV,GRE-1017,2026-11-27,2026-12-27,2820.28,592.26,3412.54,EUR,PO-5751,NL91ABNA0417164300,30 days,False,normal
MediaHaus GmbH,MED-1012,2026-11-28,2026-12-28,1480.68,281.33,1762.01,EUR,PO-9965,DE75512108001245126199,30 days,False,normal
TechParts AG,TEC-1025,2026-11-29,2026-12-29,8479.25,1611.06,10090.3,EUR,PO-5100,DE12500105170648489890,30 days,False,normal
DataNova Inc,DAT-1012,2026-12-05,2027-01-04,5813.78,0.0,5813.78,USD,PO-9250,US-DEMO-889922,30 days,False,normal
CloudWorks Ltd,CLO-1013,2026-12-08,2027-01-07,3801.0,760.2,4561.2,GBP,PO-5252,GB29NWBK60161331926819,30 days,False,normal
ABC GmbH,ABC-1012,2026-12-10,2027-01-09,946.73,179.88,1126.61,EUR,PO-7198,DE89370400440532013000,30 days,False,normal
TechParts AG,TEC-1026,2026-12-15,2027-01-14,7030.16,1335.73,8365.89,EUR,PO-8532,DE12500105170648489890,30 days,False,normal
Green Supplies BV,GRE-1018,2026-12-23,2027-01-22,2682.32,563.29,3245.61,EUR,PO-5268,NL91ABNA0417164300,30 days,False,normal
DataNova Inc,DAT-1013,2026-12-30,2027-01-29,6246.76,0.0,6246.76,USD,PO-7561,US-DEMO-889922,30 days,False,normal
MediaHaus GmbH,MED-1013,2026-12-31,2027-01-30,1670.98,317.49,1988.47,EUR,PO-5503,DE75512108001245126199,30 days,False,normal
ABC GmbH,ABC-1013,2027-01-02,2027-02-01,842.68,160.11,1002.79,EUR,PO-6569,DE89370400440532013000,30 days,False,normal
CloudWorks Ltd,CLO-1014,2027-01-08,2027-02-07,3682.43,736.49,4418.91,GBP,PO-4474,GB29NWBK60161331926819,30 days,False,normal
Green Supplies BV,GRE-1019,2027-01-10,2027-02-09,2273.55,477.45,2750.99,EUR,PO-8119,NL91ABNA0417164300,30 days,False,normal
DataNova Inc,DAT-1014,2027-01-22,2027-02-21,5980.35,0.0,5980.35,USD,PO-8100,US-DEMO-889922,30 days,False,normal
MediaHaus GmbH,MED-1014,2027-01-30,2027-03-01,1670.64,317.42,1988.06,EUR,PO-7978,DE75512108001245126199,30 days,False,normal
Green Supplies BV,GRE-1020,2027-02-04,2027-03-06,2661.35,558.88,3220.23,EUR,PO-8450,NL91ABNA0417164300,30 days,False,normal
ABC GmbH,ABC-1014,2027-02-08,2027-03-10,1014.38,192.73,1207.11,EUR,PO-4410,DE89370400440532013000,30 days,False,normal
CloudWorks Ltd,CLO-1015,2027-02-15,2027-03-17,3752.77,750.55,4503.33,GBP,PO-8647,GB29NWBK60161331926819,30 days,False,normal
DataNova Inc,DAT-1015,2027-02-17,2027-03-19,6325.92,0.0,6325.92,USD,PO-9234,US-DEMO-889922,30 days,False,normal
MediaHaus GmbH,MED-1015,2027-02-26,2027-03-28,1981.74,376.53,2358.27,EUR,PO-4480,DE75512108001245126199,30 days,False,normal
Green Supplies BV,GRE-1021,2027-02-26,2027-03-28,2549.44,535.38,3084.82,EUR,PO-6057,NL91ABNA0417164300,30 days,False,normal
ABC GmbH,ABC-1015,2027-03-08,2027-04-07,1064.71,202.3,1267.01,EUR,PO-9073,DE89370400440532013000,30 days,False,normal
CloudWorks Ltd,CLO-1016,2027-03-11,2027-04-10,3631.34,726.27,4357.61,GBP,PO-9840,GB29NWBK60161331926819,30 days,False,normal
DataNova Inc,DAT-1016,2027-03-11,2027-04-10,6764.14,0.0,6764.14,USD,PO-7268,US-DEMO-889922,30 days,False,normal
Green Supplies BV,GRE-1022,2027-03-19,2027-04-18,2402.25,504.47,2906.72,EUR,PO-8519,NL91ABNA0417164300,30 days,False,normal
MediaHaus GmbH,MED-1016,2027-03-22,2027-04-21,1521.32,289.05,1810.37,EUR,PO-6266,DE75512108001245126199,30 days,False,normal
ABC GmbH,ABC-1016,2027-04-06,2027-05-06,1012.91,192.45,1205.36,EUR,PO-7754,DE89370400440532013000,30 days,False,normal
CloudWorks Ltd,CLO-1017,2027-04-09,2027-05-09,3169.99,634.0,3803.99,GBP,PO-5840,GB29NWBK60161331926819,30 days,False,normal
DataNova Inc,DAT-1017,2027-04-11,2027-05-11,6632.33,0.0,6632.33,USD,PO-7789,US-DEMO-889922,30 days,False,normal
MediaHaus GmbH,MED-1017,2027-04-14,2027-05-14,1742.85,331.14,2073.99,EUR,PO-8594,DE75512108001245126199,30 days,False,normal
ABC GmbH,ABC-1017,2027-05-05,2027-06-04,1230.16,233.73,1463.89,EUR,PO-9471,DE89370400440532013000,30 days,False,normal
CloudWorks Ltd,CLO-1018,2027-05-11,2027-06-10,3471.96,694.39,4166.35,GBP,PO-8820,GB29NWBK60161331926819,30 days,False,normal
DataNova Inc,DAT-1018,2027-05-20,2027-06-19,5717.37,0.0,5717.37,USD,PO-7727,US-DEMO-889922,30 days,False,normal
ABC GmbH,ABC-1018,2027-05-31,2027-06-30,1025.53,194.85,1220.38,EUR,PO-4756,DE89370400440532013000,30 days,False,normal
CloudWorks Ltd,CLO-1019,2027-06-12,2027-07-12,2916.78,583.36,3500.14,GBP,PO-4058,GB29NWBK60161331926819,30 days,False,normal
DataNova Inc,DAT-1019,2027-06-24,2027-07-24,6728.3,0.0,6728.3,USD,PO-7465,US-DEMO-889922,30 days,False,normal
ABC GmbH,ABC-1019,2027-06-27,2027-07-27,976.52,185.54,1162.06,EUR,PO-4029,DE89370400440532013000,30 days,False,normal
CloudWorks Ltd,CLO-1020,2027-07-08,2027-08-07,3059.96,611.99,3671.95,GBP,PO-6281,GB29NWBK60161331926819,30 days,False,normal
ABC GmbH,ABC-1020,2027-07-23,2027-08-22,909.0,172.71,1081.72,EUR,PO-4916,DE89370400440532013000,30 days,False,normal
DataNova Inc,DAT-1020,2027-07-25,2027-08-24,6409.58,0.0,6409.58,USD,PO-7242,US-DEMO-889922,30 days,False,normal
CloudWorks Ltd,CLO-1021,2027-08-07,2027-09-06,4983.3,996.66,5979.96,GBP,PO-4772,GB29NWBK60161331926819,30 days,False,normal
DataNova Inc,DAT-1021,2027-08-28,2027-09-27,5817.96,0.0,5817.96,USD,PO-7745,US-DEMO-889922,30 days,False,normal
CloudWorks Ltd,CLO-1022,2027-09-08,2027-10-08,3085.07,617.01,3702.08,GBP,PO-5569,GB29NWBK60161331926819,30 days,False,normal
DataNova Inc,DAT-1022,2027-09-23,2027-10-23,6949.37,0.0,6949.37,USD,PO-5085,US-DEMO-889922,30 days,False,normal
CloudWorks Ltd,CLO-1023,2027-10-08,2027-11-07,3761.65,752.33,4513.97,GBP,PO-8393,GB29NWBK60161331926819,30 days,False,normal
DataNova Inc,DAT-1023,2027-10-22,2027-11-21,5988.4,0.0,5988.4,USD,PO-5292,US-DEMO-889922,30 days,False,normal
CloudWorks Ltd,CLO-1024,2027-11-03,2027-12-03,3571.78,714.36,4286.14,GBP,PO-4617,GB29NWBK60161331926819,30 days,False,normal
CloudWorks Ltd,CLO-1025,2027-11-23,2027-12-23,3371.22,674.24,4045.46,GBP,PO-5362,GB29NWBK60161331926819,30 days,False,normal
DataNova Inc,DAT-1024,2027-11-24,2027-12-24,6605.9,0.0,6605.9,USD,PO-9010,US-DEMO-889922,30 days,False,normal
CloudWorks Ltd,CLO-1026,2027-12-17,2028-01-16,3105.61,621.12,3726.73,GBP,PO-6430,GB29NWBK60161331926819,30 days,False,normal
DataNova Inc,DAT-1025,2027-12-24,2028-01-23,5371.92,0.0,5371.92,USD,PO-9434,US-DEMO-889922,30 days,False,normal
CloudWorks Ltd,CLO-1027,2028-01-01,2028-01-31,3019.6,603.92,3623.52,GBP,PO-4479,GB29NWBK60161331926819,30 days,False,normal
DataNova Inc,DAT-1026,2028-01-18,2028-02-17,6628.53,0.0,6628.53,USD,PO-4945,US-DEMO-889922,30 days,False,normal
CloudWorks Ltd,CLO-1028,2028-01-29,2028-02-28,3754.92,750.98,4505.9,GBP,PO-7307,GB29NWBK60161331926819,30 days,False,normal
DataNova Inc,DAT-1027,2028-02-19,2028-03-20,6099.71,0.0,6099.71,USD,PO-8954,US-DEMO-889922,30 days,False,normal
CloudWorks Ltd,CLO-1029,2028-02-28,2028-03-29,2748.45,549.69,3298.14,GBP,PO-8742,GB29NWBK60161331926819,30 days,False,normal
DataNova Inc,DAT-1028,2028-03-24,2028-04-23,6366.19,0.0,6366.19,USD,PO-8140,US-DEMO-889922,30 days,False,normal
CloudWorks Ltd,CLO-1030,2028-04-07,2028-05-07,3827.1,765.42,4592.52,GBP,PO-9486,GB29NWBK60161331926819,30 days,False,normal
DataNova Inc,DAT-1029,2028-04-19,2028-05-19,6090.92,0.0,6090.92,USD,PO-5323,US-DEMO-889922,30 days,False,normal
CloudWorks Ltd,CLO-1031,2028-05-04,2028-06-03,3422.16,684.43,4106.59,GBP,PO-8144,GB29NWBK60161331926819,30 days,False,normal
